Sample Material,ID,MFR,TML,Category,CVCM,Space Code,WVR,Material Usage,Cure
3 M KAPTON 92 TAPE,GSC27751,MMM,2.74,6,1.06,1,0.3,TAPE,
3145 RTV ADHESIVE SEALANT,GSC28621,DCC,2.52,1,0.58,1,0.11,ADHESIVE,7D
3145 RTV ADHESIVE SEALANT,GSC28657,DCC,2.29,1,0.52,2,0.06,ADHESIVE,7D
38N POLYIMIDE NO-FLOW RESIN ON WOVEN FIBERGLASS REINFORCEMENT,GSC31120,ARL,0.71,10,0,1,0.34,LAMINATES AND CIRCUIT BOARDS,1H
"3BTN 1 BLANKETING MATERIAL, INNER LAYERS",GSC30397,RUS,0.32,99,0,1,0.24,LRO LEND,
"3BTN 1 BLANKETING MATERIAL, OUTER LAYER",GSC30394,RUS,1.55,99,0,1,1.31,LRO LEND,
"3BTN 1 BLANKETING MATERIAL, YELLOW THREAD",GSC30400,RUS,1.85,99,0.16,1,1.01,LRO LEND,
"3BTN 2 BLANKETING MATERIAL, GOLD LAYER",GSC30403,RUS,0.92,99,0.03,1,0.69,LRO LEND,
"3BTN 2 BLANKETING MATERIAL, WHITE THREAD",GSC30406,RUS,3.14,99,0.15,1,2.12,LRO LEND,
3K70P/NB321 OR AS4-PW/NB321,GSC35013,NAI,0.22,10,0,1,0.1,LAMINATE,
3M 1125 1 INCH EMI COPPER TAPE,GSC30436,MMM,0.1,5,0.02,1,0.03,EMI SHIELDING,
3M 1245 EMBOSSED CU TAPE,GSC33865,MMM,0.21,16,0.09,1,0.02,ELECTRICAL TAPE,
3M 1970 BAGGING MATERIAL,GSC29014,MMM,0.24,6,0.06,1,0.04,BAGGING MATERIAL,
3M 40 PRINTED ANTISTATIC UTILITY TAPE,GSC31144,MMM,1.33,16,0.07,1,0.71,TAPE,
3M 425 AL TAPE WITH ACRYLIC ADHESIVE - 2 1/2 INCH THICK,GSC31147,MMM,0.17,16,0,1,0.04,TAPE,
3M 425 AL TAPE WITH ACRYLIC ADHESIVE - 4 INCH THICK,GSC31150,MMM,0.16,16,0.01,1,0.04,TAPE,
3M 425 ALUMINUM TAPE,GSC31492,MMM,0.18,16,0.01,1,0.06,CONDUCTIVE TAPE,
3M 427 TAPE (ALUMINUM W/ACRYLIC PSA),GSC33718,MMM,0.19,16,0.01,1,0.04,TAPE,
3M 467MP CLEAR ADHESIVE TRANSFER TAPE,GSC31312,MMM,0.9,1,0.02,1,0.18,ADHESIVE,
3M 5 ELECTRICAL TAPE (ZC 6186-03 NOTED ON ROLL,GSC31609,MMM,0.62,16,0.1,1,0.19,ELECTRICAL TAPE,
3M 79 TAPE # USLN-88XJ3Z-962737031343,GSC32383,MMM,0.29,16,0.04,1,0.08,TAPE,
3M 9495MP DBLSIDED TAPE-POLYESTER W/ ACRYLIC ADHESIVE,GSC33394,MMM,0.97,16,0.01,1,0.2,INSULATION TAPE,
3M 950 ACRYLIC TAPE,GSC33730,MMM,3.82,16,1.08,1,0.19,TAPE,
3M ADHESIVE 30 NF NEUTRAL,GSC29523,MMM,5.05,1,0.95,1,0.32,ADHESIVE,
3M DUAL LOCK FASTENER SJ 4570,977GSC29,MMM,0.53,99,0.18,1,0.05,RE-USABLE FASTENER,96H
3M DUAL LOCK FASTENER SJ 4570,GSC29818,MMM,1.11,99,0.3,1,0.03,RE-USABLE FASTENER,
3M FLUORAD 723 BARRIER FILM,GSC29476,MMM,11.66,6,0.01,1,0.35,BARRIER FILM,8H
"3M GLASS CLOTH ELECTRICAL TAPE 79, WHITE ACRYLIC ADHESIVE",GSC31429,MMM,0.37,16,0.04,1,0.15,TAPE,
3M HN38S POLARIZER FILM,GSC28984,MMM,8.4,6,0,1,5.05,LINEAR POLARIZER,
"3M KYNAR HEAT SHRINK TUBING, 3/16 IN, AS RECEIVED",GSC32341,MMM,0.18,2,0.01,1,0.02,SHRINK TUBING,
"3M KYNAR HEAT SHRINK TUBING, 3/16 IN, HEAT SHRUNK",GSC32344,MMM,0.18,2,0.01,1,0.04,SHRINK TUBING,
3M LASER MARKABLE LABEL STOCK 7846 WITH BLACK MARKING,GSC29479,MMM,2.12,11,0.42,1,0.37,LABEL,
3M LASER MARKABLE LABEL STOCK 7846 WITH BROWN MARKING,GSC29482,MMM,2,11,0.39,1,0.38,LABEL,
3M NPE-1008 TAPE (NEW ADH. ON 3M 425) LOT TR711A8-3,GSC35121,THM,0.13,16,0.02,1,0.03,FOIL TAPE,
3M SCOTCHCAST ELECTRICAL RESIN 5230N,GSC31114,MMM,0.57,99,0,1,0.29,ELECTRICAL RESIN,20M
3M SCOTCHKOTE 134 FUSION BONDED EPOXY COATING,GSC29117,EEC,1,3,0.12,2,0.71,COATING,10M
3M SCOTCHKOTE 134 FUSION BONDED EPOXY COATING,GSC29120,EEC,0.5,3,0,3,0.39,COATING,10M
3M TAPE 1430 HD (LOT # 7242-06),GSC30769,MMM,1,16,0.01,1,0.6,TAPE,
"3M TAPE 9704, ELECTRICALLY CONDUCTIVE TRANSFER ACRYLIC ADHESIVE TAPE",GSC33901,MMM,0.76,16,0.01,1,0.12,FILM ADHESIVE,
3M TAPE AG-2300 CONDUCTIVE SILVER FABRIC WITH ACRYLIC ADHESIVE,GSC29839,MMM,0.75,16,0.17,1,0.19,CONDUCTIVE TAPE,
"3M TAPE F-9469PC, ACRYLIC ADHESIVE TRANSFER TAPE F/F",GSC31741,MMM,0.92,1,0,1,0.29,ADHESIVE,
"3M ULTRA-PURE VISCOELASTIC DAMPING POLYMER 242NR02, 2 MIL",GSC32497,MMM,0.36,6,0.03,1,0.06,DAMPING POLYMER,
"3M1838 GREEN, FROZEN PREMIXED ADHESIVE",GSC33109,ATK,0.39,1,0.01,1,0.14,ADHESIVE,2H
"3M1838 GREEN, FROZEN PREMIXED ADHESIVE",GSC33112,ATK,0.36,1,0.01,1,0.14,ADHESIVE,4H
"4/6 NYLON, US 94V-0",GSC28411,MEX,1.53,10,0.01,1,0.79,CONNECTOR HOUSING,
41AWG ESSEX (SOLIDEX) (NYLON YARN WRAPPING),GSC27748,KLW ,3.75,99,0.6,1,1.49,WIRE WRAPPING,
41AWG ESSEX (SOLIDEX) LITZ WIRE (SOLDERABLE POLYESTER WIRE),GSC27745,KLW,0.03,99,0,1,0,WIRE,
"49N MULTIFUNCTIONAL, HIGH TG, LOW FLOW EPOXY PREPREG",GSC33715,ARL,0.69,10,0,1,0.35,PREPREG ADHESIVE FOR PCB,
50-3122,GSC34144,EPE,0.43,1,0.02,3,0.18,ADHESIVE,1H
50-3150 W/CAT 190,GSC34147,EPE,0.5,14,0.01,3,0.14,POTTING COMPOUND,24H
"50-771R, CAT20/A, 100:6 PBW BLACK INK ON FOILS",GSC34135,ENT,7.42,11,0.19,2,0.45,INK,7D
"50-771R, CAT20/A, 100:6 PBW BLACK INK ON FOILS",GSC34138,ENT,11.01,11,0.21,1,0.43,INK,7D
"50-771R, CAT20/A, 100:6 PBW BLACK INK, PUCK",GSC34132,ENT,17.97,11,0.08,1,0.16,INK,7D
"50VT FLUOROCARBON ELASTOMER O-RING, ITT P/N 561525-19",GSC31270,APR,0.15,99,0,1,0.1,O-RING,
"51N-LF MULT HIGH TG EPOXY, LOW FLOW PREPREG",GSC34183,ARL,0.48,99,0.01,1,0.25,SOLDER RESIN,45M
55LM LAMINATE,GSC29149,ARL4,1.08,10,0,1,0.54,LAMINATE,
55STT - NON-WOVEN ARAMID FIBER REINFORCED POLYIMIDE LAMINATE,GSC29176,ARL4,1.21,10,0,1,0.61,LAMINATE,1H
70-3812NC ALUMINUM FILLED EPOXY,GSC34105,EPE,0.91,1,0.07,2,0.15,ADHESIVE,45M
"84N MULTIFUNCTIONAL, HIGH TG, LOW FLOW EPOXY PREPREG",GSC33721,ARL,1.49,10,0,1,0.84,PREPREG ADHESIVE FOR PCB,
8511 40% ENCAPSULANT PROPRIETARY PRODUCT,GSC26908,ANG,0.22,0,0,1,0.26,POTTING,
8511 60% ENCAPSULANT PROPRIETARY PRODUCT,GSC26911,ANG,0.19,0,0,1,0.21,POTTING,
8511 ENCAPSUALNT PROPRIETARY PRODUCT,GSC26914,ANG,0.41,0,0,1,0.5,POTTING,
85NT - NON-WOVEN ARAMID FIBER REINFORCED POLYIMIDE LAMINATE,GSC29170,ARL4,2.02,10,0,1,1.63,LAMINATE,1H
85RT - NON-WOVEN ARAMID FIBER REINFORCED POLYIMIDE LAMINATE,GSC29173,ARL4,1.89,10,0,1,1.41,LAMINATE,1H
91A/KAPTON GOLD PLATED COPPER COND/ACRYLIC ADH (K102.5),GSC28414,KAD,2,10,0,1,1.63,FLEXIBLE CIRCUIT BOARD,
"91ML; FIBERGLASS REINFORCED, CERAMIC FILLED, HIGH TG EPOXY RESIN COMPOSITE",GSC30577,ARL,0.27,10,0,1,0.18,LAMINATES AND CIRCUIT BOARDS,1H
"91ML; FIBERGLASS REINFORCED, CERAMIC FILLED, HIGH TG EPOXY RESIN COMPOSITE",GSC31069,ARL,0.49,10,0.01,1,0.25,LAMINATES,1H
92ML: CERAMIC FILLED THERMALLY CONDUCTIVE MULTIFUNCTIONAL EPOXY,GSC30616,ARL,0.29,10,0,1,0.18,LAMINATES AND CIRCUIT BOARDS,90M
"92ML; FIBERGLASS REINFORCED, CERAMIC FILLED, HIGH TG EPOXY RESIN COMPOSITE",GSC31072,ARL,0.54,10,0,1,0.44,LAMINATES,1H
992 ELASTOMERIC COMPOUND (NITRILE),GSC27781,JCC,1.67,15,0.39,1,0.19,GASKET,
9920 PRIMER - THICK PAINT CHIPS - A:B 5.5:1 PBW,GSC31816,LOR,6.56,13,0.05,1,0.13,PRIMER,18H
9929 PRIMER/F - A:B 5.5:1 PBW,GSC31813,LOR,3.21,13,0.03,1,0.41,PRIMER,18H
"9947 WASH PRIMER, AEROGLAZE, 2 PART",GSC32794,LOR,12,13,0.18,1,0.25,PRIMER,2H
"99ML; FIBERGLASS REINFORCED, CERAMIC FILLED, EPOXY RESIN COMPOSITE",GSC30556,ARL,0.43,10,0,1,0.21,LAMINATES AND CIRCUIT BOARDS,1H
A 276 TOPCOAT,GSC27697,HCC,3.8,13,0.08,1,0.46,PAINT,
A/S ULO POLY BAGGING FILM CO-EXTRUDED ANTI-STATIC,GSC27388,CCT,0.29,6,0.08,1,0,BAGGING,
A-1177B A/B AS 1/1 BW EPOXY - BROWN,GSFC7166,BFG,0.45,1,0.02,2,0.23,ADHESIVE,24H
A-1273-B A/B AS 1/1 BW GREEN EPOXY PER MMM A132,GSFC9536,BFG,0.75,1,0.04,1,0.15,ADHESIVE,48H
A-1273-B A/B AS 1/1 BW GREEN EPOXY PER MMM A132,GSFC9560,BFG,0.71,1,0.05,2,0.16,ADHESIVE,16H
A-1282-B ONE PART HEAT CURED EPOXY,GSC15624,BFG,0.65,1,0.01,1,0.63,ADHESIVE,20M
A-1362-B ONE COMPONENT EPOXY,GSFC9298,BFG,1.18,1,0.34,1,0.29,ADHESIVE,1H
A-1396-B EPOXY,GSFC8300,BFG,11.69,1,0.65,1,0.28,ADHESIVE,1H
"A-150 TISSUE EQUIVALENT PLASTIC, EXRADIN, 1 INCH THICK X 1 (TEP)",GSC29293,SIM,1.29,6,0.05,1,0.29,RADIATION ABSORPTION,
"A-150 TISSUE EQUIVALENT PLASTIC, EXRADIN, 1 INCH THICK x 1 (TEP)",GSC29419,SIM,1,5,0.02,1,0.18,RADIATION ABSORPTION,24
"A-150 TISSUE EQUIVALENT PLASTIC, EXRADIN, 1 INCH THICK x 1 (TEP)",GSC29455,SIM,0.18,5,0,1,0.06,RADIATION ABSORPTION,24H
"A-150 TISSUE EQUIVALENT PLASTIC, EXRADIN, 1 INCH THICK x 1 (TEP)",GSC29458,SIM,0.65,5,0.01,1,0.08,RADIATION ABSORPTION,24H
"A-150 TISSUE EQUIVALENT PLASTIC, EXRADIN, 1 INCH THICK x 1 (TEP)",GSC29461,SIM,0.88,5,0.01,1,0.08,RADIATION ABSORPTION,24H
A-165-30-2-2,GSC17856,ZZZ,2.07,0,0.31,1,0.65,MOLD CPND,
A-18 A/B AS 10/8 BW EPOXY,GSFC3451,HYS,1.54,1,0.04,1,,ADHESIVE,7D
A2 COATING OR MPP CORES,GSC31408,ZZZ,1.1,1,0.02,1,0.25,ADHESIVE,96H
A-2841-L-618 GRAY SILICONE WIRE COATING,SRI10910,BIW,1.08,0,0.43,1,,WIRE COATING,
A-2841-L-618 GRAY SILICONE WIRE COATING,SRI10911,BIW,0.7,0,0.41,1,,WIRE COATING,24H
A-2841-L-618 YELLOW SILICONE WIRE COATING,SRI10912,BIW,1.27,0,0.55,1,,WIRE COATING,
A-2841-L-618 YELLOW SILICONE WIRE COATING,SRI10913,BIW,0.84,0,0.45,1,,WIRE COATING,24H
A-4000 A/B AS 100/4.5 BW SILICONE,GSFC5479,DCC,2.85,1,1.63,2,,ADHESIVE,16H
A528 FILM ADHESIVE,GSC24792,SHD,0.37,1,0.17,1,0.04,FILM ADHESIVE,6H
A-528 POLYESTER ADH FILM CLEAR,GSC21433,GTS,0.81,1,0.33,1,0.18,ADHESIVE,
A-529 POLYESTER ADH FILM CLEAR,GSC21395,GTS,1.02,1,0.42,1,0.17,ADHESIVE,
A-546 POLYESTER ADH FILM SEMI-TRANSLUCENT,GSC21393,GTS,0.81,1,0.27,1,0.03,ADHESIVE,
A8-4219/HD-3404 AS 100/9 BW EPOXY,GSC10934,HYS,2.96,14,0.06,1,0.28,POTTING,7D
A-8543-1000,GSC18164,ZZZ,1,0,0.01,1,0.57,MOLD CPND,
A9-601 EPOXY HONEYCOMB ADH,GSFC2641,HYS,0.36,1,0.03,1,,ADH FILM,1H
"AA-BOND 28 HEAT RESIST, LOW EXOTHERM EPOXY",GSC35091,ATA,1.3,1,0,1,0.66,EPOXY ADHESIVE,
AA-DUCT 903 ELECT. CONDUCTIVE EPOXY ADHESIVE,GSC35097,ATA,0.71,1,0,1,0.15,ADHESIVE,
AA-DUCT CG2 SILVER COATED GLASS SPHERE EPOXY,GSC35088,ATA,0.29,1,0,1,0.12,EPOXY ADHESIVE,
AAP-3 FOAM RF ABSORBER BLACK W/BLUE COAT ONE EDGE,GSC14767,AAP,4.18,7,0.63,1,0.94,ABSORBER,
AAP-HC HONEYCOMB MICROWAVE ABSORBER,GSC13006,AAP,1.75,99,0.04,1,0.89,ABSORBER,
AAP-LS-2000 FOAM RF ABSORBER BLACK,GSC14764,AAP,4.34,7,0.37,1,0.16,ABSORBER,
AAP-ML-F2 FOAM MICROWAVE ABSORBER BLUE COAT ONE SIDE,GSC14740,AAP,3.03,7,0.38,1,0.48,ABSORBER,
AAP-SS-H RF ABSORBER METALLIC/GRAPHITE/FOAM,GSFC8938,AAP,0.85,7,0.04,1,0.17,FOAM COMPOSITE,
AA-SUPERTHERM 195 ELECT. INSULATING COMPOUND,GSC35094,ATA,1.71,5,0.42,1,0.14,INSULATING COMPOUND,
ABLEBOND 16-1 A/B AS 100/7 BW SILVER FILLED EPOXY,GSC17520,AAC,1.21,1,0.04,1,0.18,COND ADHESIVE,7D
ABLEBOND 16-1 A/B AS 100/7 BW SILVER FILLED EPOXY,GSFC9392,AAC,0.71,1,0.15,2,0.1,COND ADHESIVE,24H
ABLEBOND 163-4 A/B AS 20/9 BW COPPER FILLED EPOXY,GSFC1078,AAC,1.39,1,0.08,1,,COND ADHESIVE,2H
ABLEBOND 20-1 SILVER FILLED EPOXY ONE COMPONENT,GSFC5531,AAC,0.19,1,0,1,,COND ADHESIVE,30M
ABLEBOND 224-1 A/B AS 10/1 BW EPOXY,GSFC5250,AAC,3.3,1,0.38,1,,ADHESIVE,15M
ABLEBOND 224-8 A/B AS 100/7.3 BW EPOXY,GSFC3293,AAC,0.39,1,0,1,,ADHESIVE,1H
ABLEBOND 293-1 A/B AS 25/2 BW FILLED EPOXY,GSC13335,AAC,2.05,1,0.02,1,0.46,ADHESIVE,4H
ABLEBOND 293-1 A/B AS 25/4 BW EPOXY,GSFC5272,AAC,1.32,1,0.08,1,,ADHESIVE,4H
ABLEBOND 293-1FT BLACK,GSC22708,AAC,1.54,1,0.04,1,0.36,ADHESIVE,1.5H
ABLEBOND 342-13ACC ONE PART FROZEN COLORLESS EPOXY,GSC20426,AAC,1.03,1,0.01,1,0.37,ADHESIVE,7D
ABLEBOND 342-13ACC/5% BLACK EPOXY,GSC10886,AAC,1.05,1,0.07,1,0.29,ADHESIVE,2H
ABLEBOND 36-2 SILVER FILLED EPOXY,GSFC5693,AAC,0.3,1,0,1,,COND ADHESIVE,30M
ABLEBOND 41-5 EPOXY,GSFC5635,AAC,0.46,1,0,1,,ADHESIVE,30M
ABLEBOND 41-6 EPOXY,GSFC5637,AAC,0.34,1,0.01,1,,ADHESIVE,30M
ABLEBOND 463-1 A/B AS 10GM/16DPS SILVER FILLED EPOXY,GSFC9395,AAC,0.62,1,0.01,2,0.11,COND ADHESIVE,2H
ABLEBOND 481-19 LIQUID EPOXY ADHESIVE,GSC20845,AAC,3.81,1,0.52,2,0.29,ADHESIVE,15M
ABLEBOND 57-2R MODIFIED EPOXY DARK RED,GSC12148,AAC,2.59,1,0.16,1,0.39,ADHESIVE,2H
ABLEBOND 606-2NC TAN EPOXY PASTE,GSC14082,AAC,4.07,1,0.03,1,0.34,ADHESIVE,30M
ABLEBOND 606-2NC TAN EPOXY PASTE,GSC14085,AAC,3.16,1,0.03,1,0.3,ADHESIVE,60M
ABLEBOND 606-2NC TAN EPOXY PASTE,GSC14187,AAC,0.81,1,0.01,4,0.35,ADHESIVE,1H
ABLEBOND 606-2NC TAN EPOXY PASTE,GSC14190,AAC,0.82,1,0.01,4,0.25,ADHESIVE,2H
ABLEBOND 642-1 ALUMINA FILLED ORANGE EPOXY,GSC21385,AAC,0.89,1,0.01,1,0.44,ADHESIVE,18H
ABLEBOND 642-1 ONE PART FROZEN AMBER EPOXY,GSC20423,AAC,0.71,1,0,1,0.36,ADHESIVE,2H
ABLEBOND 681-12-3VD YELLOW EPOXY,GSC18611,AAC,10.33,1,0.02,2,0.33,ADHESIVE,30M
ABLEBOND 681-12-3VD/ACCELERATOR 309 YELLOW EPOXY,GSC18743,AAC,11.04,1,0.05,2,0.31,ADHESIVE,30M
ABLEBOND 71-1 SILVER FILLED POLYIMIDE,GSC10814,AAC,0.24,1,0.06,2,0.18,COND ADHESIVE,10M
ABLEBOND 71-1 SILVER FILLED POLYIMIDE,GSC10817,AAC,0.17,1,0.01,2,0.14,COND ADHESIVE,30M
ABLEBOND 71-1 SILVER FILLED POLYIMIDE,GSC11651,AAC,0.25,1,0,2,0.17,COND ADHESIVE,30M
ABLEBOND 731-1 A/B AS 100/47 BW YELLOW EPOXY,GSFC7250,AAC,0.92,14,0.11,1,0.21,POTTING,3H
ABLEBOND 742-1 EPOXY FROZEN PRE-MIX LT GREEN,GSC24641,AAC,0.32,1,0,1,0.2,ADHESIVE,2H
ABLEBOND 77-2LTC BLACK EPOXY ADHESIVE ONE PART,GSC19355,AAC,0.58,1,0.01,1,0.35,ADHESIVE,30M
ABLEBOND 789-3,GSC33886,AAC,0.46,1,0,1,0.3,ADHESIVE,4H
ABLEBOND 789-3 AMBER EPOXY (ONE PART),GSC25390,AAC,0.6,1,0,1,0.23,ADHESIVE,1H
ABLEBOND 789-3/5% BW CABOSIL YELLOW-BROWN EPOXY,GSC14572,ACC,0.85,1,0,0,0.29,ADHESIVE,
ABLEBOND 789-4 SINGLE COMPONENT THERM COND EPOXY,GSC14348,AAC,0.44,1,0.01,1,0.21,THERM COND ADH,1H
ABLEBOND 8175 SILVER FILLED ONE PART EPOXY,GSC21523,AAC,0.18,1,0.01,1,0.05,COND ADHESIVE,2H
ABLEBOND 826-1 ONE COMPONENT SILVER FILLED ADH,GSFC7862,AAC,0.58,1,0.03,1,0.22,COND ADHESIVE,30M
ABLEBOND 8370,GSC32407,HEN,0.05,1,0,1,0.03,ADHESIVE,3H
ABLEBOND 84-1 LMI,GSC28882,EMC,0.12,1,0.03,2,0.08,ADHESIVE,15M
ABLEBOND 84-1 LMI AG FILLED CONDUCTIVE ADHESIVE,GSC25660,AAC,0.12,1,0,1,0.04,COND ADHESIVE,1H
ABLEBOND 84-1 LMI AG FILLED CONDUCTIVE ADHESIVE,GSC25663,AAC,0.1,1,0,1,0.04,COND ADHESIVE,2H
ABLEBOND 84-1 LMIS ONE PART SILVER FILLED EPOXY,GSC15813,AAC,0.26,1,0.01,1,0.12,COND ADHESIVE,1H
ABLEBOND 84-1 LMIT 1 PART SILVER FILLED EPOXY,GSC22381,AAC,0.12,1,0.01,1,0.09,COND ADHESIVE,2H
ABLEBOND 84-1 LMIT 1 PART SILVER FILLED EPOXY,GSC22384,AAC,0.1,1,0.02,1,0.09,COND ADHESIVE,1H
ABLEBOND 84-1 LMIT 1 PART SILVER FILLED EPOXY,GSC30979,AAC,0.14,1,0.01,1,0.06,COND ADHESIVE,1H
ABLEBOND 84-1LMINB1,GSC33052,AAC,0.23,1,0,1,0.12,DIE ATTACH ADHESIVE,30M
ABLEBOND 84-3,GSC33055,AAC,0.32,1,0,1,0.2,DIE ATTACH ADHESIVE,1H
ABLEBOND 84-3 ONE PART GREEN EPOXY,GSC15816,AAC,0.35,1,0,1,0.16,ADHESIVE,1H
ABLEBOND 84-3J ELECTRICALLY INSULATING EPOXY ADH,GSC25161,AAC,0.23,1,0,1,0.13,ADHESIVE,1H
ABLEBOND 84-3J ELECTRICALLY INSULATING EPOXY ADH,GSC25185,AAC,0.2,1,0,1,0.12,ADHESIVE,1H
ABLEBOND 85-1 GOLD FILLED EPOXY ADHESIVE,GSC23137,ROG,0.2,1,0.01,1,0.08,ADHESIVE,2H
ABLEBOND 8700E CLOTH SUPPORT/EPOXY FILM ADH TAN,GSC22930,AAC,0.3,1,0,2,0.25,FILM ADHESIVE,2H
ABLEBOND 8700K CLOTH SUPPORT/EPOXY FILM ADH BONE,GSC22933,AAC,0.59,1,0,2,0.52,FILM ADHESIVE,2H
ABLEBOND 872-3 A/B AS 2/3 BW FLEXIBLE PINK EPOXY,GSFC8324,AAC,2.76,1,1.19,2,0.62,ADHESIVE,8H
ABLEBOND 88-1 A/B AS 1/1 BW SILVER FILLED EPOXY,GSC11696,AAC,4.85,1,0.31,1,0.63,COND ADHESIVE,90M
ABLEBOND 88-1 A/B AS 1/1 BW SILVER FILLED EPOXY,GSC11699,AAC,2.41,1,0.04,1,0.41,COND ADHESIVE,1H
ABLEBOND 88-1 A/B AS 1/1 BW SILVER FILLED EPOXY,GSC11824,AAC,2.02,1,0.06,1,0.32,COND ADHESIVE,1H
ABLEBOND 88-1 A/B AS 1/1 BW SILVER FILLED EPOXY,GSC11827,AAC,2.04,1,0.01,1,0.33,COND ADHESIVE,1H
ABLEBOND 88-1 A/B AS 1/1 BW SILVER FILLED EPOXY,GSC11887,AAC,0.76,1,0,2,0.75,COND ADHESIVE,1H
ABLEBOND 88-1 A/B AS 1/1 BW SILVER FILLED EPOXY THIN,GSC11932,AAC,0.81,1,0.01,1,0.4,COND ADHESIVE,1H
ABLEBOND 931-1 ONE COMPONENT EPOXY,GSC15169,AAC,1.75,1,0,1,0.32,ADHESIVE,21D
ABLEBOND 931-1 ONE COMPONENT EPOXY,GSC15171,AAC,1.46,1,0,1,0.3,ADHESIVE,2H
ABLEBOND 931-1 ONE COMPONENT EPOXY,GSC21783,AAC,1.6,1,0.01,1,0.5,ADHESIVE,2H
ABLEBOND 931-1 ONE COMPONENT EPOXY,GSC21786,AAC,1.55,1,0.01,1,0.51,ADHESIVE,2H
ABLEBOND 958-11,GSC32356,HEN,0.25,1,0,1,0.08,ADHESIVE,1H
ABLEBOND 958-2,GSC33883,AAC,0.13,1,0,1,0.04,ADHESIVE,2H
ABLEBOND 958-7 SILVER FILLED ONE PART EPOXY,GSC18855,AAC,0.16,1,0.01,1,0.06,COND ADHESIVE,1H
"ABLEBOND 965-1L, DIE AND LID ATTACH ADHESIVE",GSC28843,AAC,0.36,1,0.01,2,0.05,ADHESIVE,2H
ABLEBOND 967-1 A/B AS 1/1 PBW AG FILLED EPOXY,GSC19917,AAC,0.54,1,0.01,1,0.28,COND ADHESIVE,2H
ABLEBOND 967-3 LOW TEMPERTURE CURE CHIP ADHESIVE,GSC25158,AAC,0.86,1,0.02,1,0.42,ADHESIVE,5M
ABLEBOND 967-3 LOW TEMPERTURE CURE CHIP ADHESIVE,GSC25188,AAC,0.82,1,0.01,1,0.43,ADHESIVE,5M
ABLEBOND 968-2,GSC30160,AAC,0.38,1,0,1,0.25,ADHESIVE,2H
ABLEBOND 970-3 A/B AS 10/7.4 BW BLUE EPOXY,GSC22648,AAC,1.04,1,0.03,1,0.32,ADHESIVE,24H
ABLEBOND 976-1 AG FILLED EPOXY FROZEN PRE-MIX,GSC21753,AAC,0.71,1,0.1,1,0.28,COND ADHESIVE,1H
